GEOID,median_income,avg_income,pct_bachelors
010010201001,42204,96631.03448275862,0.27423167848699764
010010201002,62022,81534.16856492027,0.21233689205219455
010010202001,58971,71750.0,0.21962616822429906
010010202002,57063,78612.05882352941,0.17096466093600765
010010203001,84646,85390.50445103858,0.14761137949543746
010010203002,29091,51700.0,0.18013856812933027
010010204001,87000,102357.0796460177,0.27884615384615385
010010204002,74250,178279.77386934674,0.38755020080321284
010010204003,63000,75573.22404371585,0.4244604316546763
010010204004,70323,75211.5107913669,0.1440677966101695
010010205011,67000,81241.85022026431,0.5119506553585197
010010205012,100969,97569.25714285714,0.3040337146297411
010010205021,68897,86584.4049247606,0.7267080745341615
010010205022,68382,88198.8255033557,0.40841865756541523
010010205031,85261,74978.98936170213,0.5018939393939394
010010205032,62500,76679.54545454546,0.38626609442060084
010010205033,121637,193623.24649298599,0.6051743532058492
010010206001,29257,35118.529411764706,0.05927342256214149
010010206002,71875,72934.13654618475,0.22048997772828507
010010206003,94744,105642.95212765958,0.32126089872568747
010010207001,63750,70272.20902612827,0.2029769959404601
010010207002,29575,38247.798742138366,0.09866220735785954
010010207003,62500,123553.46020761246,0.3228941684665227
010010208011,58182,76868.8995215311,0.18778801843317972
010010208012,134028,170962.0578778135,0.45314900153609833
010010208013,82212,108768.69806094182,0.3436123348017621
010010208031,55817,70154.25925925926,0.37859712230215825
010010208032,-666666666,51337.5,0.0
010010208033,81641,86682.08092485549,0.20676691729323307
010010208034,-666666666,57439.47368421053,0.15634920634920635
010010208041,90596,80402.30088495575,0.5813253012048193
010010208042,109628,127334.56048084148,0.5396952686447474
010010208051,109950,97323.98286937902,0.4014184397163121
010010208052,102054,95423.53982300885,0.1998001998001998
010010209011,76912,74628.89273356402,0.3139050791007494
010010209012,78208,83853.29949238579,0.1917140536149472
010010209021,39750,58839.91683991684,0.05889423076923077
010010209022,81339,119202.0134228188,0.2551928783382789
010010210001,49612,91787.55760368664,0.026881720430107527
010010210002,23644,54753.00429184549,0.07060518731988473
010010210003,-666666666,85527.48414376321,0.1668472372697725
010010211001,27258,40189.64646464647,0.083596214511041
010010211002,-666666666,51903.24189526185,0.15845070422535212
010010211003,30938,33772.67904509284,0.039125431530494824
010010211004,46165,84044.28969359331,0.16110304789550073
010030101001,62917,70872.09302325582,0.12778904665314403
010030101002,85625,90878.71287128713,0.17428350116189
010030101003,44250,49410.24590163935,0.044571428571428574
010030102001,44688,65650.24077046549,0.11404435058078141
010030102002,85074,78908.5514834206,0.11211573236889692
010030103001,92560,134669.39759036145,0.21656050955414013
010030103002,171544,182307.84557907845,0.48284313725490197
010030103003,85891,103075.29021558873,0.2212990936555891
010030103004,65950,85906.12244897959,0.23148148148148148
010030103005,43511,62026.64543524416,0.10786106032906764
010030104001,81000,82493.08035714286,0.23269012485811577
010030104002,41709,69451.64670658682,0.10603048376408217
010030104003,46913,67851.11111111111,0.17717391304347826
010030105001,76406,70152.19123505976,0.07010309278350516
010030105002,42899,54864.50304259635,0.060849598163030996
010030105003,101772,120009.65309200603,0.284862043251305
010030105004,35250,52972.06823027718,0.10159118727050184
010030106001,14566,32988.22605965463,0.16741674167416742
010030106002,22836,22563.533834586466,0.028938906752411574
010030106003,53056,56883.08457711443,0.06119402985074627
010030107041,77500,91158.81720430107,0.4396694214876033
010030107042,82045,95808.83777239709,0.4407612031921424
010030107061,127386,114526.00834492351,0.3063773833004602
010030107062,115188,132761.70212765958,0.4588144726712856
010030107071,-666666666,79742.11409395972,0.6082840236686391
010030107072,95401,124207.45428973278,0.5140949554896143
010030107073,154438,153947.2258064516,0.5619834710743802
010030107081,117660,135025.2285191956,0.43101482326111745
010030107082,73955,103481.83172002979,0.39417040358744393
010030107083,50128,62956.76567656766,0.37919737919737917
010030107084,110893,105677.83393501805,0.35891844744875706
010030107091,120577,167749.13333333333,0.6087461300309598
010030107092,106250,91375.37037037036,0.3503575076608784
010030107093,114125,118680.68386322736,0.47978204760539145
010030107101,75066,84741.9627749577,0.4496288441145281
010030107102,97851,114141.75467099919,0.445704317488007
010030107103,78359,73909.89583333333,0.22650602409638554
010030107111,81295,75339.72081218274,0.15283018867924528
010030107112,87764,89723.57059509918,0.4123788217747949
010030108001,50095,67468.28240252897,0.2162752594210814
010030108002,92750,181750.47732696898,0.7275280898876404
010030108003,60050,73263.55859709153,0.3181176470588235
010030109031,56104,79659.3137254902,0.2223175965665236
010030109032,96875,114647.16351501668,0.24295233213736545
010030109033,72031,85918.35147744945,0.22577209797657083
010030109041,81548,114876.36700648749,0.3834853090172239
010030109042,44734,60739.87261146497,0.2251655629139073
010030109043,67941,88124.79674796748,0.2324455205811138
010030109061,52216,59560.05121638924,0.10839391936549901
010030109062,29034,43957.96178343949,0.1681184668989547
010030109063,77917,93342.02898550725,0.17785234899328858
010030109071,76942,96749.14914914915,0.24971231300345226
010030109072,119559,123190.54054054055,0.2388963660834455
010030109081,92439,167230.48933500628,0.09559748427672957
010030109082,60298,69760.01881467545,0.1859706362153344
010030110001,46250,74911.96473551638,0.2563729060451566
010030110002,56607,73781.15816767502,0.1757201646090535
010030111021,81937,98762.20930232559,0.5879292403746098
010030111022,87103,109004.41323971916,0.446843853820598
010030111031,75625,77167.35187424425,0.4088005677785664
010030111041,36901,64961.94029850746,0.2552995391705069
010030111042,112892,144600.69238377843,0.48184019370460046
010030111043,68207,118615.11285574092,0.3533834586466165
010030112011,100208,150032.53886010364,0.5756972111553785
010030112012,47009,94216.26506024097,0.4958791208791209
010030112021,63803,133467.70670826832,0.43227899432278993
010030112022,97500,149468.93063583816,0.7127329192546584
010030112023,73000,116460.22727272728,0.6159464394400487
010030112024,-666666666,110090.18404907975,0.4909365558912387
010030113001,-666666666,239327.1739130435,0.5983606557377049
010030113002,65000,87199.23076923077,0.35830212234706615
010030113003,71359,123081.05263157895,0.24049429657794677
010030113004,88769,127233.92857142857,0.6616878267363704
010030114091,72358,98931.31868131868,0.14577656675749318
010030114092,55054,79995.87217043941,0.3263888888888889
010030114093,111440,106190.68541300527,0.06072555205047318
010030114101,59200,78388.95652173914,0.2720831365139348
010030114102,69405,99320.75,0.3207762557077626
010030114103,64214,74490.93655589124,0.46397941680960547
010030114104,87279,126765.09554140127,0.3913260219341974
010030114111,45819,45819.07894736842,0.2401347449470645
010030114112,-666666666,82107.26141078839,0.23745519713261648
010030114121,55762,65706.4906490649,0.2727272727272727
010030114122,75711,85514.14267834794,0.4546952224052718
010030114131,80903,95824.60456942003,0.3480257116620753
010030114132,42629,86966.56314699793,0.227994227994228
010030114133,115609,159788.95463510847,0.5740112994350283
010030114141,115565,152143.15286624205,0.5607407407407408
010030114142,85952,125817.2027972028,0.30049610205527993
010030114151,107727,175292.71604938273,0.6180904522613065
010030114161,53167,76785.07972665149,0.5482993197278911
010030114171,61118,76057.0977917981,0.22336769759450173
010030114172,104875,135100.95465393795,0.39490445859872614
010030114181,49464,66135.71428571429,0.2310866574965612
010030114182,78783,87996.58848614072,0.2126865671641791
010030114191,63864,86888.11659192825,0.3857290589451913
010030114192,61313,74544.61538461539,0.4671340929009641
010030114193,65096,90039.33518005541,0.49530956848030017
010030114194,100750,128890.87719298246,0.4797047970479705
010030115011,63676,78437.5696767001,0.2007814848211602
010030115012,49048,56592.737430167595,0.09944311853619729
010030115013,62500,67258.90957446808,0.16407355021216408
010030115031,75188,90272.58320126783,0.3437185929648241
010030115032,48325,61145.427435387675,0.1856060606060606
010030115033,53694,48517.62682717111,0.18219097832454598
010030115034,66556,77541.10060189165,0.5592665356908972
010030115041,51000,64558.52272727273,0.2669902912621359
010030115042,29172,52830.20527859237,0.11787665886026542
010030115043,75806,95073.76811594203,0.21627789046653145
010030116011,55165,66522.49322493224,0.23446105428796224
010030116012,51840,62188.43683083512,0.12787088764742396
010030116013,97031,120571.7086834734,0.1786339754816112
010030116014,52949,75847.32441471572,0.26614481409001955
010030116031,63452,101369.69339622642,0.2540610786224821
010030116032,71875,73202.4013722127,0.2532051282051282
010030116041,53854,75431.96125907991,0.20671140939597316
010030116042,75422,119707.36067297582,0.3202025886325267
010039900000,-666666666,-inf,
010059501001,75521,90732.5626204239,0.18263473053892215
010059501002,47153,52094.845360824744,0.05365853658536585
010059502001,39313,62543.12267657993,0.0327455919395466
010059502002,30625,54573.913043478264,0.05375073833431778
010059502003,52917,63879.052369077304,0.0636604774535809
010059503001,23848,99127.35042735042,0.15213358070500926
010059503002,41276,50563.40694006309,0.09888059701492537
010059504001,54514,78848.14814814815,0.15798922800718132
010059504002,27578,40673.21937321937,0.03690036900369004
010059504003,27130,37227.754237288136,0.07713884992987377
010059505001,38269,66757.70750988142,0.2010443864229765
010059505002,66014,64614.62829736211,0.08169934640522876
010059505003,43750,66744.5475638051,0.14041994750656167
010059506001,19444,26934.722222222223,0.021505376344086023
010059506002,75625,76623.9336492891,0.10398230088495575
010059507001,60200,97490.0,0.29094076655052264
010059507002,51364,53012.0,0.20853080568720378
010059508001,26742,43643.494423791824,0.21477428180574556
010059508002,44023,76849.5867768595,0.2602739726027397
010059509001,68843,78366.12576064908,0.12084257206208426
010059509002,28144,41290.55023923445,0.12118713932399011
010059509003,15347,17204.82233502538,0.1074561403508772
010070100011,-666666666,74426.96390658175,0.06981132075471698
010070100012,36829,75671.96531791908,0.08771929824561403
010070100051,65781,66986.03174603175,0.031928480204342274
010070100052,38040,47353.46715328467,0.06725146198830409
010070100053,86946,98821.15732368897,0.25912921348314605
010070100061,95352,74364.81481481482,0.003246753246753247
010070100062,44914,60200.0,0.02586206896551724
010070100071,56471,50474.64114832536,0.062409288824383166
010070100072,49054,66491.30434782608,0.031664964249233915
010070100081,55273,72163.31058020478,0.14039408866995073
010070100082,-666666666,56582.35294117647,0.1995249406175772
010070100091,-666666666,53151.05348460292,0.0931174089068826
010070100092,-666666666,23159.87261146497,0.087857847976308
010070100093,36319,32602.5,0.0
010070100101,24853,66191.12627986349,0.14995715509854327
010070100102,68409,87031.77083333333,0.20484359233097882
010070100111,61053,62934.89208633093,0.02987012987012987
010070100112,47772,51970.32418952618,0.12683823529411764
010090501031,52500,92024.83870967742,0.04576976421636616
010090501041,88833,137121.15384615384,0.30407124681933845
010090501042,48816,69655.06756756757,0.12556869881710647
010090501051,61402,97173.02452316077,0.26138433515482695
010090501052,52500,69628.59848484848,0.14733178654292342
010090501053,-666666666,60159.312839059676,0.18623853211009175
010090501054,45173,52327.79369627507,0.061224489795918366
010090501061,29630,48807.55033557047,0.08606921029281278
010090501062,55938,52263.48408710218,0.2877871825876663
010090501071,55360,61567.66355140187,0.04319478402607987
010090501072,44531,58258.02469135803,0.25037037037037035
010090502001,59657,69119.02017291066,0.0896
010090502002,49707,68305.72569906792,0.09475806451612903
010090503011,46199,64128.44827586207,0.08805579773321709
010090503012,77500,78099.2957746479,0.16806722689075632
010090503021,66791,74160.0,0.06217616580310881
010090503022,44375,52430.65693430657,0.21195652173913043
010090504001,82148,86128.15884476535,0.34146341463414637
010090504002,46782,58181.08581436077,0.11213389121338913
010090504003,69125,91186.73835125448,0.23633156966490299
010090504004,56361,96954.8051948052,0.25585284280936454
010090505011,75147,85757.17948717948,0.22145804676753783
010090505012,39910,75659.04436860068,0.1718146718146718
010090505013,44934,60931.02803738318,0.14301552106430154
010090505021,53750,66779.46666666666,0.050793650793650794
010090505022,-666666666,70220.70240295748,0.14245548266166824
010090505023,63542,146685.51532033426,0.19261213720316622
010090506011,69500,82725.46583850932,0.29356357927786497
010090506012,58512,74186.84654300168,0.08993082244427364
010090506013,88158,88343.84615384616,0.16059379217273953
010090506031,78750,86905.84415584416,0.24331550802139038
010090506032,111250,100064.90486257928,0.1891891891891892
010090506033,104432,116014.6288209607,0.12144420131291028
010090506041,57167,67504.14110429448,0.10733590733590734
010090506042,79688,80348.82352941176,0.18152866242038215
010090506043,46518,79221.1214953271,0.15345005149330587
010090506044,78894,111763.12399355878,0.29977289931869794
010090507011,66125,70673.44213649852,0.03326996197718631
010090507012,75260,82770.57324840764,0.08021077283372366
010090507013,46597,61644.5632798574,0.17408506429277942
010090507014,47388,77904.73372781066,0.0
010090507021,48456,62741.26213592233,0.008729388942774006
010090507022,35284,56990.793650793654,0.18833162743091095
010119521001,42092,51585.557299843014,0.1297640653357532
010119522011,-666666666,34905.67375886525,0.06301824212271974
010119522012,-666666666,52895.911413969334,0.09487179487179487
010119522021,30139,44905.06535947712,0.08060606060606061
010119522022,14196,16644.67213114754,0.04975124378109453
010119522023,-666666666,24969.375,0.044897959183673466
010119525001,42891,72545.0,0.099601593625498
010119525002,-666666666,100942.0233463035,0.19239904988123516
