job_id,state,name,filename,size_mb,created
10057193,California,San_Diego_6,10057193_San_Diego_6_California_pin_report.zip,1544.6655435562134,2025-12-23 18:51:53
10057338,California,San_Francisco_1,10057338_San_Francisco_1_California_expanded_cel_cdl_report.zip,655.7364959716797,2025-12-23 18:13:24
10057338,California,San_Francisco_1,10057338_San_Francisco_1_California_pin_report.zip,4164.699589729309,2025-12-23 18:22:06
10057288,California,San_Francisco_2_a,10057288_San_Francisco_2_a_California_pin_report.zip,2759.5751609802246,2025-12-23 18:29:40
10057288,California,San_Francisco_2_a,10057288_San_Francisco_2_a_California_expanded_cel_cdl_report.zip,560.4293012619019,2025-12-23 18:26:10
10057287,California,San_Francisco_2_b,10057287_San_Francisco_2_b_California_expanded_cel_cdl_report.zip,560.4277076721191,2025-12-23 18:27:02
10057287,California,San_Francisco_2_b,10057287_San_Francisco_2_b_California_pin_report.zip,2759.4587755203247,2025-12-23 18:29:42
10057308,California,San_Jacinto,10057308_San_Jacinto_California_expanded_cel_cdl_report.zip,87.09098148345947,2025-12-23 18:21:15
10057308,California,San_Jacinto,10057308_San_Jacinto_California_pin_report.tsv.gz,667.6834573745728,2025-12-23 18:22:06
10057352,California,San_Jose_1_a,10057352_San_Jose_1_a_California_expanded_cel_cdl_report.zip,219.34554481506348,2025-12-23 18:09:57
10057352,California,San_Jose_1_a,10057352_San_Jose_1_a_California_pin_report.tsv.gz,1391.0546646118164,2025-12-23 18:12:25
10057351,California,San_Jose_1_b,10057351_San_Jose_1_b_California_expanded_cel_cdl_report.zip,219.2633466720581,2025-12-23 18:10:17
10057351,California,San_Jose_1_b,10057351_San_Jose_1_b_California_pin_report.tsv.gz,1391.2405138015747,2025-12-23 18:12:18
10057727,California,San_Jose_2_a,10057727_San_Jose_2_a_California_pin_report.tsv.gz,664.754132270813,2025-12-24 22:24:33
10057727,California,San_Jose_2_a,10057727_San_Jose_2_a_California_expanded_cel_cdl_report.zip,139.07923889160156,2025-12-24 22:24:03
10057726,California,San_Jose_2_b,10057726_San_Jose_2_b_California_pin_report.tsv.gz,665.0632028579712,2025-12-24 22:24:41
10057726,California,San_Jose_2_b,10057726_San_Jose_2_b_California_expanded_cel_cdl_report.zip,139.08188438415527,2025-12-24 22:24:07
10057296,California,San_Jose_3,10057296_San_Jose_3_California_expanded_cel_cdl_report.zip,446.2350044250488,2025-12-23 18:23:37
10057296,California,San_Jose_3,10057296_San_Jose_3_California_pin_report.zip,2457.218692779541,2025-12-23 18:25:54
