state_fips,placefp,city_name,area_m2_parks,area_m2_parkserve,area_m2_osm,area_m2_indoor,date
10,01400,Arden,44780.943349497174,43459.08386921371,34012.63247351468,0.0,2025-12-01
10,15440,Clayton,23266.74641569921,1577.4025428640066,23172.15102080621,0.0,2025-12-01
10,19730,Delaware City,35602.378267952685,0.0,35602.378267952685,0.0,2025-12-01
10,24540,Elsmere,260434.01571490936,195653.8865335185,237810.07696545988,0.0,2025-12-01
10,81350,Wyoming,97245.24911009173,12203.067175257967,95745.26461699647,0.0,2025-12-01
10,41310,Laurel,119032.01719310888,41894.018544832696,100491.68610848779,0.0,2025-12-01
10,01660,Ardentown,14615.544392275639,8294.794778096957,14195.897443948863,0.0,2025-12-01
10,21200,Dover,1728145.2908720085,697476.6203654276,1529496.2433857683,2020.9538896363333,2025-12-01
10,41700,Leipsic,0.0,0.0,0.0,0.0,2025-12-01
10,41830,Lewes,120522.40260356352,105817.98350371918,108427.13391446763,0.0,2025-12-01
10,48200,Millville,24494.874318147515,3270.603755418879,21224.270562728634,0.0,2025-12-01
10,48330,Milton,78733.31915911677,61770.60481489471,47652.21642408495,0.0,2025-12-01
10,53920,Ocean View,45160.82603138534,30611.81098392009,23685.304366849105,0.0,2025-12-01
10,60290,Rehoboth Beach,238823.06265706013,191911.12607922498,131647.6627309745,243.49746723251974,2025-12-01
10,01530,Ardencroft,2548.309187555497,0.0,2548.309187555497,0.0,2025-12-01
10,67310,Smyrna,408295.71252759534,180356.23496687014,314423.0910534457,1575.484597454139,2025-12-01
10,50670,Newark,2401976.8145184675,1350670.0322047458,1778215.5024839959,22352.82843187844,2025-12-01
10,44430,Magnolia,0.0,0.0,0.0,0.0,2025-12-01
10,74330,Viola,0.0,0.0,0.0,0.0,2025-12-01
10,29090,Georgetown,497156.517726131,169638.58588455897,398713.99175415206,276.95027032963714,2025-12-01
10,05690,Bethany Beach,42819.211991259566,20855.12466077236,38878.318965710634,0.0,2025-12-01
10,05820,Bethel,0.0,0.0,0.0,0.0,2025-12-01
10,06730,Blades,47599.514265197446,46634.73844387918,11107.044274511358,0.0,2025-12-01
10,36760,Houston,4348.482730055224,4348.482730055224,0.0,0.0,2025-12-01
10,39100,Kenton,0.0,0.0,0.0,0.0,2025-12-01
10,80830,Woodside,0.0,0.0,0.0,0.0,2025-12-01
10,28310,Frankford,9154.521940193392,9080.509658001001,8373.158672019632,0.0,2025-12-01
10,64840,Selbyville,21544.690690014617,0.0,21544.690690014617,0.0,2025-12-01
10,67050,Slaughter Beach,630.4108134318581,0.0,630.4108134318581,0.0,2025-12-01
10,67700,South Bethany,7880.766014209113,6937.047381084548,5432.624186379473,0.0,2025-12-01
10,77580,Wilmington,2483041.6486238455,1729562.499167403,2358672.2888694718,5327.400534244633,2025-12-01
10,24020,Ellendale,5717.679156650138,0.0,5717.679156650138,0.0,2025-12-01
10,31560,Greenwood,15793.2391092309,0.0,15793.2391092309,0.0,2025-12-01
10,47420,Milford,585943.8671852077,241938.77737844083,551451.0116235036,0.0,2025-12-01
10,47940,Millsboro,70711.31981380758,55759.43343671845,69859.50209214429,277.80746276173886,2025-12-01
10,64320,Seaford,396112.18187929847,238750.93617207452,372506.7714176338,3003.79437930599,2025-12-01
10,50800,New Castle,552858.61868132,486340.32135675824,138636.89050161102,0.0,2025-12-01
10,51190,Newport,10569.81434549598,0.0,10569.814345495979,0.0,2025-12-01
10,54050,Odessa,35201.016881304524,21022.359370166752,33623.8166557725,0.0,2025-12-01
10,72510,Townsend,46651.005683540156,41791.65306728263,46628.38089330803,0.0,2025-12-01
10,04650,Bellefonte,838.7112888766833,838.7112888766833,0.0,0.0,2025-12-01
10,47030,Middletown,1070154.436260118,620576.706233689,860377.2235648455,570.5083447945366,2025-12-01
10,07250,Bowers,6487.63520561281,0.0,6487.63520561281,0.0,2025-12-01
10,10760,Camden,318217.8249541228,194749.75228637498,315189.0161657866,0.0,2025-12-01
10,14660,Cheswold,16730.169581838618,11663.632497885883,16091.137167920844,0.0,2025-12-01
10,25840,Farmington,0.0,0.0,0.0,0.0,2025-12-01
10,26620,Felton,46745.235748093226,44988.77841551476,42782.25159382865,0.0,2025-12-01
10,28440,Frederica,0.0,0.0,0.0,0.0,2025-12-01
10,33120,Harrington,5870.054186347912,482.316508869533,5387.737677478379,0.0,2025-12-01
10,33250,Hartly,0.0,0.0,0.0,0.0,2025-12-01
10,42870,Little Creek,1122.2034645817682,0.0,1122.2034645817682,0.0,2025-12-01
10,08680,Bridgeville,110705.34933528789,18872.167691784976,104231.50873697617,0.0,2025-12-01
10,18950,Dagsboro,56952.06143553171,29142.067993141285,34440.51286642199,0.0,2025-12-01
10,20380,Delmar,61910.25202862965,13697.87927241258,58847.49871135818,278.71883900008174,2025-12-01
10,20900,Dewey Beach,5925.8684301725725,5163.834727641852,762.0337025307203,0.0,2025-12-01
10,26880,Fenwick Island,7643.306875066936,2222.1602464881435,5951.995224453605,0.0,2025-12-01
10,33900,Henlopen Acres,7051.449157925967,6493.598228389648,557.8509295363183,0.0,2025-12-01
10,04130,Bear,289247.3806592557,211907.23124539704,118595.72904720834,0.0,2025-12-01
10,35850,Hockessin,443452.8336569698,292455.62379231193,185748.35177227278,5150.890937085384,2025-12-01
10,09850,Brookside,500181.9145739913,472727.62012344855,143332.9332435616,0.0,2025-12-01
10,15310,Claymont,503724.93985148566,119124.0118166999,391360.2568382247,0.0,2025-12-01
10,21387,Dover Base Housing,13695.861192336812,0.0,13695.86119233681,0.0,2025-12-01
