state_fips,placefp,city_name,area_m2_parks,area_m2_parkserve,area_m2_osm,date
23,02795,Bangor,4874129.299971489,3919641.4485463537,1814903.8149488433,2025-11-08
23,63590,Rockland,315204.11159744393,124936.18795942156,288089.98547862726,2025-11-08
23,10565,Caribou,379845.54354126105,29164.177255319162,374534.89188272326,2025-11-08
23,04860,Biddeford,1164582.469203988,671470.166066263,1130106.667716901,2025-11-08
23,64675,Saco,755343.1127512883,442608.683309512,416690.73982012173,2025-11-08
23,65725,Sanford,587402.2925840538,371580.7767345041,364020.5706148355,2025-11-08
23,27085,Gardiner,177013.8080683885,42334.66748515912,167926.26882281032,2025-11-08
23,82105,Westbrook,414887.6906074789,85126.39311894513,405005.57430324453,2025-11-08
23,09585,Calais,189989.6842792972,52790.38856781498,189695.9212619587,2025-11-08
23,02100,Augusta,1194646.4405743324,407646.8872073757,1185930.3686978915,2025-11-08
23,30550,Hallowell,133979.53637333526,57965.080322873924,130453.80059593706,2025-11-08
23,80740,Waterville,1104840.7577510597,766822.4412348791,469231.12040318793,2025-11-08
23,55225,Old Town,248973.552429275,182982.56557386855,91568.09308194413,2025-11-08
23,21730,Eastport,471601.6487594575,0.0,471601.6487594575,2025-11-08
23,06925,Brewer,365843.31372465746,211536.92986217607,301048.6704125091,2025-11-08
23,60825,Presque Isle,6998175.336541913,628905.5154302706,6635708.20721228,2025-11-08
23,23200,Ellsworth,6914343.0241169045,100333.6769541206,6855241.130445364,2025-11-08
23,38740,Lewiston,1071382.784603023,374847.2723096183,910478.9577328477,2025-11-08
23,03355,Bath,479130.1941388081,120813.18810883224,472255.27470781043,2025-11-08
23,03950,Belfast,559551.588789154,94868.54682184392,549998.3674740313,2025-11-08
23,60545,Portland,4821814.363389066,4028258.952823398,2536361.302781441,2025-11-08
23,71990,South Portland,1281258.6996773793,885126.4385709732,1233414.4564711638,2025-11-08
23,02060,Auburn,2219679.929758897,368798.8467792831,2160963.9301729747,2025-11-08
23,00695,Alfred,8902.837881641892,0.0,8902.837881641892,2025-11-08
23,01360,Anson,3232.3710343255907,0.0,3232.3710343255907,2025-11-08
23,01675,Ashland,22621.831682480326,0.0,22621.831682480326,2025-11-08
23,02830,Bar Harbor,118317.01822790717,52121.20092805274,116870.77482978118,2025-11-08
23,04685,Berwick,51740.40822069933,36632.68083693383,49626.969116707514,2025-11-08
23,04790,Bethel,122177.94023677573,0.0,122177.94023677573,2025-11-08
23,04965,Bingham,32190.384558002712,0.0,32190.384558002712,2025-11-08
23,05350,Blaine,0.0,0.0,0.0,2025-11-08
23,05665,Blue Hill,258715.1963672379,0.0,258715.1963672379,2025-11-08
23,06085,Boothbay Harbor,9457.416167596035,0.0,9457.416167596035,2025-11-08
23,06330,Bowdoinham,98460.0817864988,0.0,98460.0817864988,2025-11-08
23,06645,Bradley,3084.269646112819,3084.269646112819,0.0,2025-11-08
23,07135,Bridgton,333046.6082102261,0.0,333046.6082102261,2025-11-08
23,08360,Brownville Junction,0.0,0.0,0.0,2025-11-08
23,08395,Brunswick,1931748.9565215718,858990.7305037158,1460808.1474398912,2025-11-08
23,08780,Bucksport,408502.4057792836,0.0,408502.4057792836,2025-11-08
23,09690,Camden,156207.3643944108,12514.234729993183,154657.99383913146,2025-11-08
23,10320,Cape Neddick,109924.28418885743,43469.11431533257,106345.75295218456,2025-11-08
23,11090,Casco,34515.8183444195,0.0,34515.8183444195,2025-11-08
23,11230,Castine,157835.38302093017,0.0,157835.38302093017,2025-11-08
23,12770,Chisholm,730985.2454435949,37069.94514481229,730099.9461765465,2025-11-08
23,13435,Clinton,167808.9551201451,0.0,167808.9551201451,2025-11-08
23,14275,Corinna,2993.0459119123934,0.0,2993.0459119123934,2025-11-08
23,14450,Cornish,27836.944129279258,0.0,27836.944129279258,2025-11-08
23,14800,Cousins Island,89146.96992147178,85076.48929714948,25947.840470274874,2025-11-08
23,15500,Cumberland Center,33745.473984984,0.0,33745.473984984,2025-11-08
23,16200,Damariscotta,91606.96683520084,0.0,91606.96683520084,2025-11-08
23,16375,Danforth,10735.99577538697,0.0,10735.99577538697,2025-11-08
23,17495,Dexter,353234.5729556184,0.0,353234.5729556184,2025-11-08
23,17705,Dixfield,42846.510418311744,0.0,42846.510418311744,2025-11-08
23,18230,Dover-Foxcroft,370259.43374529167,0.0,370259.43374529167,2025-11-08
23,18965,Dunstan,6748.486283086808,0.0,6748.486283086808,2025-11-08
23,19385,Eagle Lake,19263.576543408195,0.0,19263.576543408195,2025-11-08
23,21065,East Millinocket,46313.20366636246,0.0,46313.20366636246,2025-11-08
23,24285,Fairfield,265802.3551474754,160301.50298843556,258286.0373061072,2025-11-08
23,24480,Falmouth,133349.0048541588,59650.869064635415,121886.72723409065,2025-11-08
23,24530,Falmouth Foreside,11294.869665305743,10011.04370743371,1283.8259578720345,2025-11-08
23,24635,Farmingdale,0.0,0.0,0.0,2025-11-08
23,24740,Farmington,340479.1290678835,201715.00214528595,326385.1085153978,2025-11-08
23,25580,Fort Fairfield,19608.855133849604,0.0,19608.855133849604,2025-11-08
23,25720,Fort Kent,738560.9131944414,0.0,738560.9131944414,2025-11-08
23,26490,Freeport,83527.73037781772,23688.617287371962,78807.46472543427,2025-11-08
23,26875,Fryeburg,624186.5936372235,0.0,624186.5936372235,2025-11-08
23,28205,Gorham,225637.8692510534,30116.549555853955,224065.89541076694,2025-11-08
23,28555,Grand Isle,0.0,0.0,0.0,2025-11-08
23,28835,Gray,28823.80215202026,0.0,28823.80215202026,2025-11-08
23,29220,Greene,475134.07608085626,0.0,475134.07608085626,2025-11-08
23,29500,Greenville,11059.21563070284,0.0,11059.21563070284,2025-11-08
23,30060,Guilford,50661.55007499595,0.0,50661.55007499595,2025-11-08
23,30760,Hampden,389585.19109280134,200782.10085822578,374351.28370415635,2025-11-08
23,31705,Hartland,0.0,0.0,0.0,2025-11-08
23,33945,Houlton,181626.3008715429,126678.3404874927,169358.63808118357,2025-11-08
23,34225,Howland,99931.19112453362,0.0,99931.19112453362,2025-11-08
23,35030,Island Falls,3302.491081407801,0.0,3302.491081407801,2025-11-08
23,35975,Jonesport,1954.4508902860343,0.0,1954.4508902860343,2025-11-08
23,36500,Kennebunk,635621.3233655571,542392.0037597795,133809.2971500332,2025-11-08
23,36710,Kennebunkport,96856.37657310524,73154.62657310023,23701.75000000497,2025-11-08
23,36885,Kezar Falls,3926.4423422470472,0.0,3926.4423422470472,2025-11-08
23,36990,Kingfield,9297.819104937491,0.0,9297.819104937491,2025-11-08
23,37235,Kittery,254244.52029132168,34063.87736405266,245783.49442123467,2025-11-08
23,37375,Kittery Point,102478.54372473274,0.0,102478.54372473274,2025-11-08
23,37795,Lake Arrowhead,49385.33395270587,0.0,49385.33395270587,2025-11-08
23,39265,Limestone,108998.51404032261,0.0,108998.51404032261,2025-11-08
23,39440,Lincoln,83545.99739438249,0.0,83545.99739438249,2025-11-08
23,40000,Lisbon,1268944.5918748314,0.0,1268944.5918748314,2025-11-08
23,40105,Lisbon Falls,149419.77076882977,5088.094177061944,149419.77076882974,2025-11-08
23,40350,Little Falls,49959.20407783335,29745.515516521504,23867.133895515053,2025-11-08
23,40470,Littlejohn Island,0.0,0.0,0.0,2025-11-08
23,40735,Livermore Falls,256922.45976773303,78733.94113026556,242900.72608558775,2025-11-08
23,41575,Lubec,15440.651092028924,0.0,15440.651092028924,2025-11-08
23,41925,Machias,80951.7915194103,0.0,80951.7915194103,2025-11-08
23,42485,Madawaska,147455.67881887304,0.0,147455.67881887304,2025-11-08
23,42625,Madison,224757.8038001712,0.0,224757.8038001712,2025-11-08
23,43220,Mapleton,20195.3044329477,0.0,20195.3044329477,2025-11-08
23,43675,Mars Hill,20442.15794509605,0.0,20442.15794509605,2025-11-08
23,44235,Mattawamkeag,0.0,0.0,0.0,2025-11-08
23,44620,Mechanic Falls,94829.85765498177,0.0,94829.85765498177,2025-11-08
23,45250,Mexico,18035.33810771584,66.7992478039937,17968.538859911845,2025-11-08
23,45565,Milbridge,42711.108474201515,0.0,42711.108474201515,2025-11-08
23,45635,Milford,18734.847720048067,4158.80696566151,17653.92063536748,2025-11-08
23,45845,Millinocket,511546.90487196937,62971.585033829775,504107.2109267213,2025-11-08
23,45985,Milo,56579.95641642751,0.0,56579.95641642751,2025-11-08
23,48050,Naples,20540.769099876972,0.0,20540.769099876972,2025-11-08
23,48610,Newcastle,437059.557119626,0.0,437059.557119626,2025-11-08
23,49100,Newport,44131.03416301055,0.0,44131.03416301055,2025-11-08
23,49800,Norridgewock,53905.63646387652,0.0,53905.63646387652,2025-11-08
23,49975,North Anson,23301.182209513216,0.0,23301.182209513216,2025-11-08
23,50290,North Berwick,14149.367738256906,0.0,14149.367738256906,2025-11-08
23,51095,Northeast Harbor,8830.213306131158,0.0,8830.213306131158,2025-11-08
23,53685,North Windham,171244.74500985676,0.0,171244.74500985676,2025-11-08
23,53965,Norway,248958.65815137955,61397.0644240264,247081.1218660671,2025-11-08
23,54350,Oakfield,24099.998506339398,0.0,24099.998506339398,2025-11-08
23,54490,Oak Hill,146319.95486556334,63291.70700043788,142709.87826274405,2025-11-08
23,54525,Oakland,110975.57584142312,0.0,110975.57584142312,2025-11-08
23,55120,Old Orchard Beach,326934.8454266724,156032.5053786161,326528.1842487818,2025-11-08
23,55575,Orono,576697.4467032021,438266.69518555945,191034.4837570078,2025-11-08
23,56240,Oxford,45264.8576049451,0.0,45264.8576049451,2025-11-08
23,57115,Patten,34960.568026068555,0.0,34960.568026068555,2025-11-08
23,58970,Pittsfield,394143.64999624534,157241.97908623426,389224.8171681589,2025-11-08
23,61735,Randolph,0.0,0.0,0.0,2025-11-08
23,61805,Rangeley,54139.02957719797,0.0,54139.02957719797,2025-11-08
23,62610,Richmond,67057.80255997747,0.0,67057.80255997747,2025-11-08
23,64255,Rumford,374911.48037770635,224546.52844471496,361027.15863740403,2025-11-08
23,64535,Sabattus,14304.66595538974,0.0,14304.66595538974,2025-11-08
