state_fips,placefp,city_name,area_m2_parks,area_m2_parkserve,area_m2_osm,date
47,14000,Chattanooga,34454997.86010776,20995568.4072796,16578699.363965662,2025-11-08
47,16300,Collegedale,484144.7109390327,272039.3030643526,342636.0963559167,2025-11-08
47,69560,Soddy-Daisy,577022.8376929217,220349.68518126733,521659.2220998327,2025-11-08
47,43640,Lookout Mountain,328753.82028391724,0.0,328753.82028391724,2025-11-08
47,21420,Dowelltown,0.0,0.0,0.0,2025-11-08
47,75940,Union City,774562.655778034,414694.71266238374,765178.9827372568,2025-11-08
47,50400,Mountain City,154746.75056194607,142523.16296061352,131364.79436749927,2025-11-08
47,10180,Byrdstown,5195.575131599384,0.0,5195.575131599384,2025-11-08
47,05860,Big Sandy,3920.966044369531,0.0,3920.966044369531,2025-11-08
47,58120,Pikeville,117470.47994184519,0.0,117470.47994184519,2025-11-08
47,36640,Huntsville,125539.46047055868,32974.91275426958,121704.01176484057,2025-11-08
47,43140,Livingston,113661.92823263249,73514.01267410142,105687.96434674546,2025-11-08
47,74100,Three Way,193901.05922913813,57156.9920949485,136744.06713418968,2025-11-08
47,39620,Kingston,282111.5795642881,228440.31377038156,95625.05468674726,2025-11-08
47,08500,Brighton,55865.41851023983,30428.08614594444,25437.332364295384,2025-11-08
47,10440,Calhoun,20142.187460886464,19835.320853276193,18013.625092500562,2025-11-08
47,12880,Chapel Hill,45379.30857673248,0.0,45379.30857673248,2025-11-08
47,53600,Norris,9802686.800785694,49073.22631603778,9788822.241080185,2025-11-08
47,40160,Lafayette,510553.0742036626,295859.6294434104,433666.95415098994,2025-11-08
47,78240,Watauga,0.0,0.0,0.0,2025-11-08
47,74640,Toone,8246.37758389032,0.0,8246.37758389032,2025-11-08
47,30980,Greeneville,349268.4337387537,195848.94992169336,307987.65405183594,2025-11-08
47,80360,White Pine,82026.46448824572,56699.07674289985,81931.88513911673,2025-11-08
47,29020,Gibson,0.0,0.0,0.0,2025-11-08
47,28680,Garland,0.0,0.0,0.0,2025-11-08
47,61160,Puryear,501.23079410330786,0.0,501.23079410330786,2025-11-08
