state_fips,placefp,city_name,area_m2_parks,area_m2_parkserve,area_m2_osm,date
26,34000,Grand Rapids,8503401.77903639,5853352.148233861,7735730.502162,2025-11-08
26,71360,Sand Lake,29148.079811270738,0.0,29148.079811270738,2025-11-08
26,82960,Walker,5708583.371844076,4901188.756493176,5106713.240598508,2025-11-08
26,88940,Wyoming,4595697.668256599,3491566.6558943484,3903090.084802445,2025-11-08
26,78140,Tawas City,177184.82398631162,133085.2465610691,164947.12353759445,2025-11-08
26,87140,Whittemore,37137.87514841046,0.0,37137.87514841046,2025-11-08
26,11480,Buckley,112287.8800069082,0.0,112287.8800069082,2025-11-08
26,29000,Flint,7137213.915694604,4775063.937477856,6584437.271132558,2025-11-08
26,07060,Bellevue,136352.81787429872,0.0,136352.81787429872,2025-11-08
26,60580,Olivet,101073.8726462628,0.0,101073.8726462628,2025-11-08
26,53920,Milan,333889.70974875684,222104.39681858505,318352.0051366699,2025-11-08
26,59140,Norton Shores,6565699.185154331,1390145.4969364349,6435895.373858235,2025-11-08
26,03000,Ann Arbor,6598892.936108484,3143618.7329054885,6459415.339488733,2025-11-08
26,44460,Lake Ann,10999.398391930357,0.0,10999.398391930357,2025-11-08
26,44715,Lake Isabella,99463.42503661303,0.0,99463.42503661303,2025-11-08
26,42260,Kalkaska,219822.41506365687,26421.625234627532,217462.3137136637,2025-11-08
26,60840,Onsted,87706.21768154597,0.0,87706.21768154597,2025-11-08
26,00440,Adrian,476753.57851330104,199017.01026932825,465751.2428074871,2025-11-08
26,29660,Forestville,6424.0929056800305,0.0,6424.0929056800305,2025-11-08
26,47280,Lexington,90482.92536616811,0.0,90482.92536616811,2025-11-08
26,51820,Marlette,109497.73425853578,0.0,109497.73425853578,2025-11-08
26,43220,Kinde,27250.750421749784,0.0,27250.750421749784,2025-11-08
26,88420,Woodland,45008.26267924647,0.0,45008.26267924647,2025-11-08
26,37120,Hastings,638290.7586857276,531535.5093438327,341572.7575707168,2025-11-08
26,56680,Nashville,23594.189831439973,0.0,23594.189831439973,2025-11-08
26,52180,Mason,440386.86738511635,218404.56368447808,426425.0727835953,2025-11-08
26,82453,Village of Grosse Pointe Shores,85008.76585094274,73211.9083169474,79576.88209025437,2025-11-08
26,04120,Au Gres,131276.36476867535,0.0,131276.36476867535,2025-11-08
26,87420,Williamston,225535.62009134603,75879.80889778795,202465.32264715873,2025-11-08
26,57760,Niles,822780.7980226265,619062.1487181091,649602.562727659,2025-11-08
26,13900,Cassopolis,205416.4748848403,0.0,205416.4748848403,2025-11-08
26,00620,Ahmeek,12818.511262543798,0.0,12818.511262543798,2025-11-08
26,55820,Mount Clemens,412834.84840597806,246515.87879000173,249182.58737743928,2025-11-08
26,57100,New Baltimore,550775.3949290758,215683.97675020684,534872.1453740277,2025-11-08
26,45540,L'Anse,63822.41337899812,0.0,63822.41337899812,2025-11-08
26,14940,Chatham,159287.45833145315,0.0,159287.45833145315,2025-11-08
26,09220,Bloomingdale,123517.24884359476,0.0,123517.24884359476,2025-11-08
26,10180,Breedsville,17117.664735756884,0.0,17117.664735756884,2025-11-08
26,56860,Negaunee,1388564.081116757,55636.940260573974,1354254.9980176815,2025-11-08
26,72840,Shelby,188277.5542923445,0.0,188277.5542923445,2025-11-08
26,05660,Barton Hills,14058.581888707246,11829.68405579465,2868.9622848346276,2025-11-08
26,15020,Chelsea,297597.8454569972,122324.20357660833,291757.4565094701,2025-11-08
26,22160,Dexter,481317.9067356485,266437.8360912557,461310.4796631228,2025-11-08
26,50660,Manchester,296919.6312689067,0.0,296919.6312689067,2025-11-08
26,00980,Albion,796704.4707263878,525170.8687699273,760379.4577871144,2025-11-08
26,11800,Burlington,7900.317536580733,0.0,7900.317536580733,2025-11-08
26,38920,Homer,100668.9874765611,0.0,100668.9874765611,2025-11-08
26,14400,Central Lake,35092.99500908765,0.0,35092.99500908765,2025-11-08
26,25320,Elk Rapids,145801.53100677065,0.0,145801.53100677065,2025-11-08
26,25420,Ellsworth,130474.12205380353,0.0,130474.12205380353,2025-11-08
26,50620,Mancelona,62724.72683686664,0.0,62724.72683686664,2025-11-08
26,71560,Sanford,511778.33639492857,450512.5384975573,387737.00521214295,2025-11-08
26,69540,Roscommon,13317.318300959778,0.0,13317.318300959778,2025-11-08
26,64020,Pierson,17476.04505076438,0.0,17476.04505076438,2025-11-08
26,69080,Rockford,466224.6895035424,287078.5892815675,270239.5195495103,2025-11-08
26,28360,Flat Rock,579847.9274325074,393610.3831269852,346781.1092677766,2025-11-08
26,86000,Westland,3324755.9265326574,1872370.72319717,3120657.9739484116,2025-11-08
26,49000,Livonia,5428488.926112747,4160469.6171096736,5219278.568936652,2025-11-08
26,19420,Custer,16763.00113359244,0.0,16763.00113359244,2025-11-08
26,29940,Fountain,5325.441815827913,0.0,5325.441815827913,2025-11-08
26,54220,Millington,32648.986762895336,0.0,32648.986762895336,2025-11-08
26,81420,Unionville,139355.66365411077,0.0,139355.66365411077,2025-11-08
26,81840,Vassar,541706.2350496727,370685.55321877345,524123.9917363399,2025-11-08
26,21040,Decatur,51669.48228718637,0.0,51669.48228718637,2025-11-08
26,36960,Hartford,89645.23430818568,43813.619031632144,55608.175280482275,2025-11-08
26,46440,Lawrence,116821.00596298368,0.0,116821.00596298368,2025-11-08
26,46500,Lawton,108328.95740445043,79813.23165400796,75256.25628367638,2025-11-08
26,52380,Mattawan,136064.89820237283,90769.43332515517,115777.23688817938,2025-11-08
26,36920,Hart,162484.43553588277,40261.73901129124,162415.29001923933,2025-11-08
26,63540,Pentwater,291620.1889608228,0.0,291620.1889608228,2025-11-08
26,83020,Walkerville,15052.229918341514,0.0,15052.229918341514,2025-11-08
26,59920,Oak Park,466279.23805782903,368768.6026008322,382381.2244232985,2025-11-08
26,61020,Orchard Lake Village,378762.0256567776,204689.67474682102,174072.35090995638,2025-11-08
26,62020,Oxford,344023.64681234123,22129.173605653043,344023.64681234123,2025-11-08
26,64900,Pleasant Ridge,66155.26883259794,16413.69999876565,63301.371700204414,2025-11-08
26,17840,Constantine,189698.61892299345,152011.79597823662,147864.2475596831,2025-11-08
26,52980,Mendon,49268.568448645136,0.0,49268.568448645136,2025-11-08
26,86920,White Pigeon,51743.22612703676,8711.579794283194,48034.792092525044,2025-11-08
26,61920,Owendale,14947.919574490348,0.0,14947.919574490348,2025-11-08
26,81200,Ubly,672786.3591930184,0.0,672786.3591930184,2025-11-08
26,61220,Ortonville,45201.56609099233,17839.458010495855,41101.393962885486,2025-11-08
26,65440,Pontiac,2935642.3428523876,1358729.7288136212,2675947.375867079,2025-11-08
26,69035,Rochester Hills,3883022.878471349,2315528.832411104,3749191.07365623,2025-11-08
26,70040,Royal Oak,1590627.0056445003,1324633.6868815322,1394363.4705068844,2025-11-08
26,74900,Southfield,1896984.6652558898,1319267.4308311355,1384045.9979706972,2025-11-08
26,75100,South Lyon,761411.9203381728,220967.79564200825,739200.2206798334,2025-11-08
26,36280,Hamtramck,116286.50870760661,96831.1365250495,103752.14384035257,2025-11-08
26,36700,Harper Woods,116569.49737178668,102654.08436681832,106188.60475607982,2025-11-08
26,38180,Highland Park,136211.69564195097,95658.9234077892,133022.06646846014,2025-11-08
26,40680,Inkster,2152069.5177329453,681985.0338073566,2136763.944293619,2025-11-08
26,52940,Melvindale,369419.06265217584,107520.44525292533,359683.97015166003,2025-11-08
26,65060,Plymouth,629112.1326176537,508613.25271628285,525265.8783271498,2025-11-08
26,21780,De Tour Village,13129.186939423238,0.0,13129.186939423238,2025-11-08
26,60680,Onaway,179838.01709479975,0.0,179838.01709479975,2025-11-08
26,54120,Millersburg,22123.69849642971,0.0,22123.69849642971,2025-11-08
26,40860,Ionia,247847.33290723572,61882.70499770643,243293.6856142466,2025-11-08
26,19780,Dansville,45607.73638745329,0.0,45607.73638745329,2025-11-08
26,47180,Leslie,66821.4170907592,0.0,66821.4170907592,2025-11-08
26,57380,New Haven,80323.59010259336,19107.86241448493,78311.2196183051,2025-11-08
26,36860,Harrisville,119291.59574115569,0.0,119291.59574115569,2025-11-08
26,08540,Birch Run,11945.978407043,0.0,11945.978407043,2025-11-08
26,15140,Chesaning,492424.50570523256,0.0,492424.50570523256,2025-11-08
26,53180,Merrill,73553.06763725022,0.0,73553.06763725022,2025-11-08
26,59860,Oakley,0.0,0.0,0.0,2025-11-08
26,67900,Reese,109708.80482816917,0.0,109708.80482816917,2025-11-08
26,22880,Dowagiac,719809.9265941243,293853.38003811246,637770.4435038712,2025-11-08
26,81680,Vandalia,25461.63464412558,0.0,25461.63464412558,2025-11-08
26,69020,Rochester,1590833.736609525,1501503.5787748727,522156.56484648027,2025-11-08
26,77860,Sylvan Lake,91243.24445880901,48574.00865828575,76836.50664819864,2025-11-08
26,24740,Ecorse,114848.78195592634,51846.53248803343,110966.46429709297,2025-11-08
26,31420,Garden City,435577.7578234224,355714.3169484346,426069.9842724168,2025-11-08
26,32020,Gibraltar,272914.69540835294,53259.42833782039,228351.4169383994,2025-11-08
26,35480,Grosse Pointe,90809.15433224017,46914.31662452147,87028.29287756568,2025-11-08
26,35520,Grosse Pointe Farms,173868.3985274576,101715.99967014352,171115.0162495567,2025-11-08
26,35540,Grosse Pointe Park,171024.53213295824,130937.67260014487,156850.68455805656,2025-11-08
26,35580,Grosse Pointe Woods,302585.11810173414,133607.89881487677,267697.73841839004,2025-11-08
26,08640,Birmingham,1016129.0253816042,662542.9105632472,731551.1770541649,2025-11-08
26,13620,Carsonville,32024.51950106436,0.0,32024.51950106436,2025-11-08
26,52920,Melvin,0.0,0.0,0.0,2025-11-08
26,18020,Coopersville,263153.2427405077,178551.3415600239,245101.61213948284,2025-11-08
26,47100,Le Roy,50928.977744094074,0.0,50928.977744094074,2025-11-08
26,69520,Roosevelt Park,45849.28555877332,28700.403312213974,43180.65195349012,2025-11-08
26,79600,Thompsonville,88705.55780831711,0.0,88705.55780831711,2025-11-08
26,01300,Allen,22106.70319661054,0.0,22106.70319661054,2025-11-08
26,12760,Camden,18842.680242642382,0.0,18842.680242642382,2025-11-08
26,10860,Bronson,71221.33159726375,0.0,71221.33159726375,2025-11-08
26,75700,Springfield,236363.52920848277,147442.97370618262,227675.0760816277,2025-11-08
26,79160,Tekonsha,47699.72561407936,0.0,47699.72561407936,2025-11-08
26,03200,Applegate,0.0,0.0,0.0,2025-11-08
26,11180,Brown City,267397.7029827619,0.0,267397.7029827619,2025-11-08
26,01660,Almont,52256.88504780355,45857.63333778873,40145.987986168504,2025-11-08
26,23140,Dryden,52466.20448482306,0.0,52466.20448482306,2025-11-08
26,40320,Imlay City,104916.01271473253,65230.715714313774,93601.02939654107,2025-11-08
26,46040,Lapeer,575197.2981810065,490056.0279125387,404846.84902126715,2025-11-08
26,58080,North Branch,48933.2502685728,0.0,48933.2502685728,2025-11-08
26,41920,Jonesville,120610.13232514146,38155.388620513746,110805.88761285078,2025-11-08
26,47980,Litchfield,59950.92083217587,0.0,59950.92083217587,2025-11-08
26,57920,North Adams,26334.670361884084,0.0,26334.670361884084,2025-11-08
26,82880,Waldron,0.0,0.0,0.0,2025-11-08
