statefp,placefp,city_name,osm_area_m2,parkserve_area_m2,combined_area_m2,overlap_area_m2,date
01,83400,Woodland,,,,,2025-11-04
01,66216,Rogersville,,,,,2025-11-04
01,42640,Lexington,,,,,2025-11-04
01,46072,Magnolia Springs,,,,,2025-11-04
01,04684,Bayou La Batre,,,,,2025-11-04
01,33424,Hartford,,,,,2025-11-04
01,50000,Mobile,,,,,2025-11-04
01,68160,Saraland,,,,,2025-11-04
01,13648,Centre,,,,,2025-11-04
01,46696,Margaret,,,,,2025-11-04
01,56400,Odenville,,,,,2025-11-04
01,08104,Boligee,,,,,2025-11-04
01,24664,Eutaw,,,,,2025-11-04
01,14392,Chickasaw,,,,,2025-11-04
01,15256,Clay,,,,,2025-11-04
01,18040,Courtland,,,,,2025-11-04
01,38272,Jacksonville,,,,,2025-11-04
01,71832,Southside,,,,,2025-11-04
01,02908,Ashville,,,,,2025-11-04
01,56472,Ohatchee,,,,,2025-11-04
01,57000,Oneonta,,,,,2025-11-04
01,18976,Cullman,,,,,2025-11-04
01,27376,Forkland,,,,,2025-11-04
01,43888,Locust Fork,,,,,2025-11-04
01,32968,Hanceville,,,,,2025-11-04
01,57648,Ozark,,,,,2025-11-04
01,32056,Grimes,,,,,2025-11-04
01,19360,Daleville,,,,,2025-11-04
01,01852,Anniston,,,,,2025-11-04
01,29464,Geneva,,,,,2025-11-04
01,57576,Oxford,,,,,2025-11-04
01,35896,Hoover,,,,,2025-11-04
01,78552,Vestavia Hills,,,,,2025-11-04
01,79008,Vincent,,,,,2025-11-04
01,28432,Fruithurst,,,,,2025-11-04
01,19912,Dayton,,,,,2025-11-04
01,57504,Owens Cross Roads,,,,,2025-11-04
01,00988,Albertville,,,,,2025-11-04
01,07000,Birmingham,,,,,2025-11-04
01,83976,Yellow Bluff,,,,,2025-11-04
01,51096,Moody,,,,,2025-11-04
01,64920,Riverside,,,,,2025-11-04
01,31096,Grant,,,,,2025-11-04
01,71496,Somerville,,,,,2025-11-04
01,72600,Springville,,,,,2025-11-04
01,30808,Gordonville,,,,,2025-11-04
01,35152,Hobson City,,,,,2025-11-04
01,27520,Fort Deposit,,,,,2025-11-04
01,76872,Trinity,,,,,2025-11-04
01,33712,Hayneville,,,,,2025-11-04
01,44536,Lowndesboro,,,,,2025-11-04
01,76080,Thorsby,,,,,2025-11-04
01,74400,Sylvania,,,,,2025-11-04
01,51456,Morris,,,,,2025-11-04
01,63216,Ragland,,,,,2025-11-04
01,27616,Fort Payne,,,,,2025-11-04
01,23488,Elkmont,,,,,2025-11-04
01,15640,Clio,,,,,2025-11-04
01,24472,Ethelsville,,,,,2025-11-04
01,07672,Blue Springs,,,,,2025-11-04
