state_fips,placefp,city_name,area_m2_parks,area_m2_parkserve,area_m2_osm,date
05,18880,Diamondhead,0.0,0.0,0.0,2025-11-07
05,67520,Subiaco,0.0,0.0,0.0,2025-11-07
05,11830,Carthage,0.0,0.0,0.0,2025-11-07
05,22660,Fairfield Bay,0.0,0.0,0.0,2025-11-07
05,17290,Damascus,0.0,0.0,0.0,2025-11-07
05,14260,Clinton,0.0,0.0,0.0,2025-11-07
05,06730,Black Springs,0.0,0.0,0.0,2025-11-07
05,26110,Gateway,0.0,0.0,0.0,2025-11-07
05,54200,Pea Ridge,0.0,0.0,0.0,2025-11-07
05,12820,Centerton,0.0,0.0,0.0,2025-11-07
05,12340,Cave Springs,0.0,0.0,0.0,2025-11-07
05,21430,Elm Springs,0.0,0.0,0.0,2025-11-07
05,68660,Taylor,0.0,0.0,0.0,2025-11-07
05,05320,Bentonville,0.0,0.0,0.0,2025-11-07
05,09460,Bryant,0.0,0.0,0.0,2025-11-07
05,75500,Wickes,0.0,0.0,0.0,2025-11-07
05,33370,Horseshoe Bend,0.0,0.0,0.0,2025-11-07
05,02470,Ash Flat,0.0,0.0,0.0,2025-11-07
05,27310,Glenwood,0.0,0.0,0.0,2025-11-07
05,39010,Leachville,0.0,0.0,0.0,2025-11-07
05,52580,Osceola,0.0,0.0,0.0,2025-11-07
05,71900,Victoria,0.0,0.0,0.0,2025-11-07
05,75920,Wilson,0.0,0.0,0.0,2025-11-07
05,24640,Fouke,0.0,0.0,0.0,2025-11-07
05,00940,Allport,0.0,0.0,0.0,2025-11-07
05,02860,Austin,0.0,0.0,0.0,2025-11-07
05,21730,England,0.0,0.0,0.0,2025-11-07
05,33820,Humnoke,0.0,0.0,0.0,2025-11-07
05,75740,Williford,0.0,0.0,0.0,2025-11-07
05,43100,McNeil,0.0,0.0,0.0,2025-11-07
05,71390,Valley Springs,0.0,0.0,0.0,2025-11-07
05,62240,Salesville,0.0,0.0,0.0,2025-11-07
05,72230,Wabbaseka,0.0,0.0,0.0,2025-11-07
05,72380,Waldron,0.0,0.0,0.0,2025-11-07
05,20200,Dyer,0.0,0.0,0.0,2025-11-07
05,49820,Nimmons,0.0,0.0,0.0,2025-11-07
05,55130,Piggott,0.0,0.0,0.0,2025-11-07
05,00250,Adona,0.0,0.0,0.0,2025-11-07
05,54650,Perry,0.0,0.0,0.0,2025-11-07
05,47300,Mountainburg,0.0,0.0,0.0,2025-11-07
05,25900,Garner,0.0,0.0,0.0,2025-11-07
05,18790,DeWitt,0.0,0.0,0.0,2025-11-07
05,33850,Humphrey,0.0,0.0,0.0,2025-11-07
05,28810,Greers Ferry,0.0,0.0,0.0,2025-11-07
05,23290,Fayetteville,0.0,0.0,0.0,2025-11-07
05,27670,Goshen,0.0,0.0,0.0,2025-11-07
05,30520,Hartman,0.0,0.0,0.0,2025-11-07
05,37300,Knoxville,0.0,0.0,0.0,2025-11-07
05,38290,Lamar,0.0,0.0,0.0,2025-11-07
05,24010,Flippin,0.0,0.0,0.0,2025-11-07
05,77330,Yellville,0.0,0.0,0.0,2025-11-07
05,13750,Chidester,0.0,0.0,0.0,2025-11-07
05,20440,East Camden,0.0,0.0,0.0,2025-11-07
05,05980,Big Flat,0.0,0.0,0.0,2025-11-07
05,38050,Lakeview,0.0,0.0,0.0,2025-11-07
05,50000,Norfork,0.0,0.0,0.0,2025-11-07
05,45200,Menifee,0.0,0.0,0.0,2025-11-07
05,60020,Rockport,0.0,0.0,0.0,2025-11-07
05,68810,Texarkana,0.0,0.0,0.0,2025-11-07
05,10780,Cammack Village,0.0,0.0,0.0,2025-11-07
05,63800,Sherwood,0.0,0.0,0.0,2025-11-07
05,36550,Keo,0.0,0.0,0.0,2025-11-07
05,48560,Nashville,0.0,0.0,0.0,2025-11-07
05,25750,Garfield,0.0,0.0,0.0,2025-11-07
05,69830,Traskwood,0.0,0.0,0.0,2025-11-07
05,18160,Dell,0.0,0.0,0.0,2025-11-07
05,38110,Lake View,0.0,0.0,0.0,2025-11-07
05,44420,Marvell,0.0,0.0,0.0,2025-11-07
05,04420,Bearden,0.0,0.0,0.0,2025-11-07
05,41630,Louann,0.0,0.0,0.0,2025-11-07
05,07720,Booneville,0.0,0.0,0.0,2025-11-07
05,12190,Caulksville,0.0,0.0,0.0,2025-11-07
05,43310,Magazine,0.0,0.0,0.0,2025-11-07
05,47030,Morrison Bluff,0.0,0.0,0.0,2025-11-07
05,63980,Shirley,0.0,0.0,0.0,2025-11-07
05,09790,Bull Shoals,0.0,0.0,0.0,2025-11-07
05,57890,Pyatt,0.0,0.0,0.0,2025-11-07
05,07630,Bono,0.0,0.0,0.0,2025-11-07
05,20920,Egypt,0.0,0.0,0.0,2025-11-07
05,17140,Daisy,0.0,0.0,0.0,2025-11-07
05,18100,Delight,0.0,0.0,0.0,2025-11-07
05,01360,Amity,0.0,0.0,0.0,2025-11-07
05,01870,Arkadelphia,0.0,0.0,0.0,2025-11-07
05,10360,Caddo Valley,0.0,0.0,0.0,2025-11-07
05,29200,Gurdon,0.0,0.0,0.0,2025-11-07
05,51530,Okolona,0.0,0.0,0.0,2025-11-07
05,20320,Earle,0.0,0.0,0.0,2025-11-07
05,35140,Jericho,0.0,0.0,0.0,2025-11-07
05,31190,Helena-West Helena,0.0,0.0,0.0,2025-11-07
05,14500,Coal Hill,0.0,0.0,0.0,2025-11-07
05,05920,Bigelow,0.0,0.0,0.0,2025-11-07
