state_fips,placefp,city_name,area_m2_parks,area_m2_parkserve,area_m2_osm,area_m2_indoor,date
09,47515,Milford city (balance),5008058.605384741,1741520.8289452118,4217335.759903024,1537.0651520346482,2025-12-01
09,52000,New Haven,4994042.126566062,4356889.304386631,3726177.350086304,844.8902977690435,2025-12-01
09,80000,Waterbury,2871543.968034278,2619767.49741502,1299731.9934733156,7901.019051171357,2025-12-01
09,27810,Fenwick,8492.2290778871,6382.120461917986,2110.1086159691126,0.0,2025-12-01
09,73700,Stonington,43752.38990145193,40216.367012876566,10008.799053744093,0.0,2025-12-01
09,34460,Groton Long Point,91422.29153142248,90783.46242268795,9904.917448804244,0.0,2025-12-01
09,73000,Stamford,5192122.159580865,4594713.219479665,2796850.5779001517,0.0,2025-12-01
09,37000,Hartford,5849624.282594982,5561229.604762402,2521862.802822273,9597.657472079823,2025-12-01
09,39940,Jewett City,63527.046525374535,27773.84607619814,56661.31379994364,0.0,2025-12-01
09,56200,Norwich,2025708.2808895188,1514638.135678226,639586.458463803,254.7783223500308,2025-12-01
09,52280,New London,1288149.4529539826,622619.2745894832,995292.416961147,13525.476399639301,2025-12-01
09,49880,Naugatuck,1226125.8450365465,343595.114885571,1017971.6474422074,2711.667855361096,2025-12-01
09,47290,Middletown,2494496.2621937515,1308694.143698452,1377570.6563077676,1345.0223702986993,2025-12-01
09,18780,Danielson,77754.53768316247,6773.849656700361,77722.59699272097,0.0,2025-12-01
09,08420,Bristol,1587556.3269603297,1345808.5680364403,1188451.7128786892,253.58158199903173,2025-12-01
09,50370,New Britain,2537300.037467847,2392315.910182964,1574783.5964748035,4995.062149825269,2025-12-01
09,02690,Bantam,3690.741684430012,2651.069500081655,1039.6721843483572,0.0,2025-12-01
09,43300,Litchfield,119413.78194417681,117378.62609338253,82894.81390128148,0.0,2025-12-01
09,76500,Torrington,979715.7698445945,354686.8905064524,934531.8354121905,1191.2798998046385,2025-12-01
09,08000,Bridgeport,3238535.876558348,3056799.041390654,2667785.1254407014,655.3015404369601,2025-12-01
09,18430,Danbury,4819195.385424484,4202602.641160494,1047449.9694000459,6539.660287620213,2025-12-01
09,52910,Newtown,85265.70394975055,46018.40395572396,82959.24589173647,0.0,2025-12-01
09,55990,Norwalk,2413602.708399992,1939452.5679116093,1696743.2865409353,703.0172729514228,2025-12-01
09,68100,Shelton,1060154.9279706795,653352.2131344579,728604.8511385928,1319.2543956465765,2025-12-01
09,82800,West Haven,904130.2110577112,239620.10354555832,664510.1075121526,0.0,2025-12-01
09,88050,Woodmont,46373.03964147413,31725.179022404067,20371.304449367788,0.0,2025-12-01
09,34180,Groton,274870.55796240177,171873.41792341828,272710.58020485024,0.0,2025-12-01
09,01150,Ansonia,989501.6601364551,843713.986373019,283972.54793916823,0.0,2025-12-01
09,19480,Derby,972415.3160909271,844809.6512695407,769408.2493709353,6207.711449634875,2025-12-01
09,46450,Meriden,3521844.5834907866,3280332.0822434532,878390.4625567909,470.4774972941749,2025-12-01
09,02480,Ball Pond,668.8779292496109,0.0,668.8779292496109,0.0,2025-12-01
09,02550,Baltic,115519.66402807788,47027.27261879583,110379.53314705894,0.0,2025-12-01
09,04790,Bethel,234599.06618421085,167759.01104034542,180433.4472645275,256.12552004006915,2025-12-01
09,04945,Bethlehem Village,9041.000336887586,0.0,9041.000336887584,0.0,2025-12-01
09,04965,Bigelow Corners,0.0,0.0,0.0,0.0,2025-12-01
09,06050,Blue Hills,27270.167326386178,23993.524030715093,17517.819964536913,0.0,2025-12-01
09,06155,Bogus Hill,609.0293922120695,0.0,609.0293922120695,0.0,2025-12-01
09,06680,Botsford,0.0,0.0,0.0,0.0,2025-12-01
09,07100,Branchville,11218.61209920218,10825.649855525562,7193.273907965752,392.9622436766188,2025-12-01
09,07345,Branford Center,181563.3540378063,134624.63756489236,172448.7941743248,256.82744422397104,2025-12-01
09,08140,Bridgewater,0.0,0.0,0.0,0.0,2025-12-01
09,08770,Broad Brook,263666.62873555365,259557.47831532225,119644.449181784,0.0,2025-12-01
