state_fips,placefp,city_name,area_m2_parks,area_m2_parkserve,area_m2_osm,date
66,00100,Adacao,0.0,0.0,0.0,2025-11-07
66,00850,Afame,0.0,0.0,0.0,2025-11-07
66,04000,Agana Heights,0.0,0.0,0.0,2025-11-07
66,07600,Anao,0.0,0.0,0.0,2025-11-07
66,07900,Andersen AFB,0.0,0.0,0.0,2025-11-07
66,09500,Apotgan,0.0,0.0,0.0,2025-11-07
66,09850,Apra Harbor,0.0,0.0,0.0,2025-11-07
66,12450,Asan,0.0,0.0,0.0,2025-11-07
66,15800,Astumbo,0.0,0.0,0.0,2025-11-07
66,17000,Barrigada,0.0,0.0,0.0,2025-11-07
66,18300,Barrigada Heights,0.0,0.0,0.0,2025-11-07
66,24500,Chaguian,0.0,0.0,0.0,2025-11-07
66,25450,Chalan Pago,0.0,0.0,0.0,2025-11-07
66,27400,Dededo,0.0,0.0,0.0,2025-11-07
66,29350,Finegayan Station,0.0,0.0,0.0,2025-11-07
66,34650,Hågat,0.0,0.0,0.0,2025-11-07
66,34750,Hagåtña,0.0,0.0,0.0,2025-11-07
66,35000,Harmon Industrial Park,0.0,0.0,0.0,2025-11-07
66,35500,Inalåhan,0.0,0.0,0.0,2025-11-07
66,35525,Humåtak,0.0,0.0,0.0,2025-11-07
66,36600,Ipan,0.0,0.0,0.0,2025-11-07
66,41300,Liguan,0.0,0.0,0.0,2025-11-07
66,42470,Machananao East,0.0,0.0,0.0,2025-11-07
66,42480,Machananao West,0.0,0.0,0.0,2025-11-07
66,42490,Machanao,0.0,0.0,0.0,2025-11-07
66,43300,Macheche,0.0,0.0,0.0,2025-11-07
66,43650,Maina,0.0,0.0,0.0,2025-11-07
66,44300,Maite,0.0,0.0,0.0,2025-11-07
66,44400,Malesso',0.0,0.0,0.0,2025-11-07
66,44500,Malojloj,0.0,0.0,0.0,2025-11-07
66,45600,Mangilao,0.0,0.0,0.0,2025-11-07
66,47800,Mataguac,0.0,0.0,0.0,2025-11-07
66,50500,Mogfog,0.0,0.0,0.0,2025-11-07
66,50800,Mongmong,0.0,0.0,0.0,2025-11-07
66,52200,Naval Hospital,0.0,0.0,0.0,2025-11-07
66,52500,Nimitz Hill,0.0,0.0,0.0,2025-11-07
66,52750,Nimitz Hill Annex,0.0,0.0,0.0,2025-11-07
66,53000,North Gayinero,0.0,0.0,0.0,2025-11-07
66,54800,Oka,0.0,0.0,0.0,2025-11-07
66,55350,Ordot,0.0,0.0,0.0,2025-11-07
66,56300,Pagat,0.0,0.0,0.0,2025-11-07
66,58600,Piti,0.0,0.0,0.0,2025-11-07
66,62825,Sånta Rita-Sumai,0.0,0.0,0.0,2025-11-07
66,65100,Sinajana,0.0,0.0,0.0,2025-11-07
66,66800,South Gayinero,0.0,0.0,0.0,2025-11-07
66,69000,Talo'fo'fo,0.0,0.0,0.0,2025-11-07
66,70950,Tamuning,0.0,0.0,0.0,2025-11-07
66,73550,Toto,0.0,0.0,0.0,2025-11-07
66,75500,Tumon,0.0,0.0,0.0,2025-11-07
66,77200,Ukudu,0.0,0.0,0.0,2025-11-07
66,79600,University of Guam,0.0,0.0,0.0,2025-11-07
66,80100,Upper Tumon,0.0,0.0,0.0,2025-11-07
66,81600,Windward Hills,0.0,0.0,0.0,2025-11-07
66,81850,Wusstig,0.0,0.0,0.0,2025-11-07
66,83950,Yona,0.0,0.0,0.0,2025-11-07
66,85000,Y Papao,0.0,0.0,0.0,2025-11-07
66,86000,Y Sengsong,0.0,0.0,0.0,2025-11-07
