state_fips,placefp,city_name,area_m2_parks,area_m2_parkserve,area_m2_osm,area_m2_indoor,date
18,57258,Otterbein,16481.52950968494,0.0,16481.529509684944,0.0,2025-12-01
18,68868,Shadeland,34035.1673725756,20127.86628190159,32740.174670555516,0.0,2025-12-01
18,13312,Claypool,0.0,0.0,0.0,0.0,2025-12-01
18,09226,Burket,0.0,0.0,0.0,0.0,2025-12-01
18,21502,Etna Green,0.0,0.0,0.0,0.0,2025-12-01
18,52020,Nappanee,557509.0253835601,258182.7641626211,492970.8499139666,102.89483690097542,2025-12-01
18,49932,Mishawaka,1573662.561836303,873117.3396267331,1471033.9620845784,7319.919512111722,2025-12-01
18,44370,Little York,191.5797703847199,0.0,191.5797703847199,0.0,2025-12-01
18,50976,Mooresville,610039.7736086695,559403.0001033654,586829.3673378733,0.0,2025-12-01
18,04978,Bethany,0.0,0.0,0.0,0.0,2025-12-01
18,30708,Hamlet,0.0,0.0,0.0,0.0,2025-12-01
18,36342,Ingalls,43933.227605718384,28818.633100788793,19444.92018888111,0.0,2025-12-01
18,47628,Mauckport,4833.7288525820095,0.0,4833.7288525820095,0.0,2025-12-01
18,32332,Hartsville,6713.515401912499,0.0,6713.515401912499,0.0,2025-12-01
18,14734,Columbus,2042427.5035256238,1741916.119566939,1737096.0161882024,7088.132687585505,2025-12-01
18,01666,Angola,317247.5501095783,198389.11629210034,242026.5649609737,0.0,2025-12-01
18,13438,Clear Lake,16732.673516084236,0.0,16732.673516084233,0.0,2025-12-01
18,44190,Linton,177953.57139521439,144032.48645176773,123786.61770103009,0.0,2025-12-01
18,16300,Culver,87672.42294776005,0.0,87672.42294776005,0.0,2025-12-01
18,45990,Madison,223838.5294641331,53851.53125085237,199269.3848688747,2544.561252480289,2025-12-01
18,18982,Dune Acres,231218.89334453954,228929.42745586587,2289.465888673583,0.0,2025-12-01
18,10090,Cannelburg,0.0,0.0,0.0,0.0,2025-12-01
18,50688,Montgomery,13087.080714102376,0.0,13087.08071410238,0.0,2025-12-01
18,56052,Odon,25682.96660663157,0.0,25682.96660663157,0.0,2025-12-01
18,60264,Plainville,76408.11588693892,0.0,76408.11588693892,0.0,2025-12-01
18,78326,Valparaiso,963756.1603845408,660068.4591388673,680487.9433266022,1213.6165217033863,2025-12-01
18,57726,Palmyra,615759.3748075366,0.0,615759.3748075367,0.0,2025-12-01
18,60192,Pittsboro,143848.7682672924,65839.05129982551,142345.07536570384,0.0,2025-12-01
18,01360,Amboy,0.0,0.0,0.0,0.0,2025-12-01
18,09136,Bunker Hill,18379.639601362553,16496.772418621018,16180.553571774653,0.0,2025-12-01
18,17776,Denver,20116.6812858496,0.0,20116.6812858496,0.0,2025-12-01
18,59328,Peru,415263.79212257994,243066.81721656251,398665.3667588274,199.12643331617488,2025-12-01
18,12898,Clarks Hill,2526.2899155957116,0.0,2526.2899155957116,0.0,2025-12-01
18,82862,West Lafayette,1966442.044362626,941387.0910185475,1771399.4847623107,6135.574102691535,2025-12-01
18,78110,Utica,8900.231896840234,0.0,8900.231896840234,0.0,2025-12-01
18,12934,Clarksville,2050818.7676958656,1708384.4391708802,1848493.4457178246,0.0,2025-12-01
18,04114,Bedford,1021141.019113361,248934.7725860479,1003548.2093263585,2539.9928546950932,2025-12-01
18,56682,Oolitic,5873.2689958715955,0.0,5873.268995871596,0.0,2025-12-01
18,24250,Fort Branch,60018.23218906201,60018.23218906201,0.0,0.0,2025-12-01
18,32512,Haubstadt,40082.083116416696,40082.083116416696,12701.85830933029,0.0,2025-12-01
18,32728,Hazleton,3644.7708918602716,0.0,3644.770891860271,0.0,2025-12-01
18,45774,Mackey,544.4603689937203,0.0,544.4603689937203,0.0,2025-12-01
18,55710,Oakland City,56160.09237056534,36746.2063949277,19413.885975637644,0.0,2025-12-01
18,74582,Switz City,0.0,0.0,0.0,0.0,2025-12-01
18,85598,Worthington,0.0,0.0,0.0,0.0,2025-12-01
18,04204,Beech Grove,428502.817267948,304427.72674753587,352343.01802614954,0.0,2025-12-01
18,16336,Cumberland,93599.53714173658,59758.629411936854,89684.4650355246,0.0,2025-12-01
18,34420,Homecroft,0.0,0.0,0.0,0.0,2025-12-01
18,72232,Spring Hill,632.0426011919735,0.0,632.0426011919735,0.0,2025-12-01
18,39798,Kingman,0.0,0.0,0.0,0.0,2025-12-01
18,79730,Wallace,0.0,0.0,0.0,0.0,2025-12-01
