state_fips,placefp,city_name,area_m2_parks,area_m2_parkserve,area_m2_osm,area_m2_indoor,date
21,23968,Edmonton,294900.26900454774,0.0,294683.9029802512,216.36602429657927,2025-12-04
21,28785,Fox Chase,1411.4905512625733,0.0,1411.4905512625733,0.0,2025-12-04
21,38670,Hunters Hollow,0.0,0.0,0.0,0.0,2025-12-04
21,44362,Lebanon Junction,47816.03718336922,0.0,47816.037183369226,0.0,2025-12-04
21,00514,Ages,125937.59694388132,116174.10845158822,9763.488492293067,0.0,2025-12-04
21,01972,Arjay,0.0,0.0,0.0,0.0,2025-12-04
21,21844,Doe Valley,2017.7008389561927,0.0,2017.7008389561927,0.0,2025-12-04
21,23284,East Bernstadt,238.57725816342983,0.0,238.57725816342983,0.0,2025-12-04
21,26528,Farley,6713.640054368003,0.0,6713.640054368003,0.0,2025-12-04
21,35902,Hendron,1134.5633303092081,0.0,1134.5633303092081,0.0,2025-12-04
21,49278,McRoberts,0.0,0.0,0.0,0.0,2025-12-04
21,50556,Massac,122915.21964249783,113799.41575404562,78694.8678603371,0.0,2025-12-04
21,51006,Mays Lick,7498.8945180767105,0.0,7498.8945180767105,0.0,2025-12-04
21,56694,North Corbin,0.0,0.0,0.0,0.0,2025-12-04
21,64632,Reidland,44125.641372229526,18869.283790733287,25826.589075812753,0.0,2025-12-04
21,82056,West Van Lear,0.0,0.0,0.0,0.0,2025-12-04
21,82146,Westwood,79425.9242478231,79425.9242478231,0.0,0.0,2025-12-04
21,01000,Allensville,0.0,0.0,0.0,0.0,2025-12-04
21,01648,Annville,45045.193682264755,0.0,45045.193682264755,0.0,2025-12-04
21,01720,Anthoston,0.0,0.0,0.0,0.0,2025-12-04
21,02188,Artemus,0.0,0.0,0.0,0.0,2025-12-04
21,02764,Auxier,5793.1842263699245,5781.508680743707,2875.129114427523,0.0,2025-12-04
21,06220,Betsy Layne,1995.0919848912984,0.0,0.0,1995.0919848912984,2025-12-04
21,27730,Flat Lick,0.0,0.0,0.0,0.0,2025-12-04
21,58062,Oneida,13583.014463535346,0.0,13583.014463535344,0.0,2025-12-04
21,03412,Bandana,0.0,0.0,0.0,0.0,2025-12-04
21,11188,Burna,0.0,0.0,0.0,0.0,2025-12-04
21,04978,Beech Grove,0.0,0.0,0.0,0.0,2025-12-04
21,05014,Beechmont,0.0,0.0,0.0,0.0,2025-12-04
21,23014,Dunmor,0.0,0.0,0.0,0.0,2025-12-04
21,49026,Maceo,0.0,0.0,0.0,0.0,2025-12-04
21,66846,Rosine,0.0,0.0,0.0,0.0,2025-12-04
21,05266,Belfry,5593.108420494299,0.0,5593.108420494299,0.0,2025-12-04
21,06508,Big Clifty,0.0,0.0,0.0,0.0,2025-12-04
21,05428,Belleview,199141.22864680146,0.0,199141.22864680146,0.0,2025-12-04
21,13600,Cayce,0.0,0.0,0.0,0.0,2025-12-04
21,63804,Rabbit Hash,0.0,0.0,0.0,0.0,2025-12-04
21,79464,Verona,84063.78886337565,26848.376956525226,65164.60797358217,0.0,2025-12-04
21,07012,Blackey,0.0,0.0,0.0,0.0,2025-12-04
21,08722,Boston,0.0,0.0,0.0,0.0,2025-12-04
21,14266,Chaplin,0.0,0.0,0.0,0.0,2025-12-04
21,34660,Hardyville,0.0,0.0,0.0,0.0,2025-12-04
21,09379,Breckinridge Center,0.0,0.0,0.0,0.0,2025-12-04
21,09964,Brooks,485422.96481461596,485422.96481461596,0.0,0.0,2025-12-04
21,15166,Claryville,39949.025086673806,1886.1304020116143,38062.89468466219,0.0,2025-12-04
21,10648,Buckner,474948.68012781284,0.0,473487.8681491356,1460.8119786773207,2025-12-04
21,11170,Burlington,2085650.770698816,1818451.0113331834,1688365.1324656554,0.0,2025-12-04
21,57030,Oakbrook,64140.00957240679,38124.885115312965,62749.86365014604,0.0,2025-12-04
21,10774,Buffalo,0.0,0.0,0.0,0.0,2025-12-04
21,50124,Marrowbone,0.0,0.0,0.0,0.0,2025-12-04
21,74586,Summer Shade,0.0,0.0,0.0,0.0,2025-12-04
21,74604,Summersville,0.0,0.0,0.0,0.0,2025-12-04
21,12610,Cannonsburg,0.0,0.0,0.0,0.0,2025-12-04
21,25876,Ezel,0.0,0.0,0.0,0.0,2025-12-04
